DPTO_HECHO;PROV_HECHO;DIST_HECHO;UBIGEO_HECHO;Denuncias_2017;Denuncias_2018;Denuncias_2019
NO INDICA;NO INDICA;NO INDICA;000000;1;12;
AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;010101;1607;1676;1516
AMAZONAS;CHACHAPOYAS;ASUNCION;010102;3;3;2
AMAZONAS;CHACHAPOYAS;BALSAS;010103;2;;17
AMAZONAS;CHACHAPOYAS;CHETO;010104;2;3;2
AMAZONAS;CHACHAPOYAS;CHILIQUIN;010105;2;3;8
AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;010106;;4;10
AMAZONAS;CHACHAPOYAS;GRANADA;010107;8;19;10
AMAZONAS;CHACHAPOYAS;HUANCAS;010108;4;3;16
AMAZONAS;CHACHAPOYAS;LA JALCA;010109;33;20;91
AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;010110;81;51;164
AMAZONAS;CHACHAPOYAS;LEVANTO;010111;1;2;2
AMAZONAS;CHACHAPOYAS;MAGDALENA;010112;11;30;15
AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;010113;14;12;17
AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;010114;59;51;67
AMAZONAS;CHACHAPOYAS;MONTEVIDEO;010115;5;;3
AMAZONAS;CHACHAPOYAS;OLLEROS;010116;1;2;3
AMAZONAS;CHACHAPOYAS;QUINJALCA;010117;21;26;12
AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;010118;5;9;8
AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;010119;5;6;10
AMAZONAS;CHACHAPOYAS;SOLOCO;010120;8;12;15
AMAZONAS;CHACHAPOYAS;SONCHE;010121;1;3;5
AMAZONAS;BAGUA;LA PECA;010201;56;41;184
AMAZONAS;BAGUA;ARAMANGO;010202;62;48;68
AMAZONAS;BAGUA;COPALLIN;010203;72;89;75
AMAZONAS;BAGUA;EL PARCO;010204;1;5;10
AMAZONAS;BAGUA;IMAZA;010205;80;154;197
AMAZONAS;BAGUA;BAGUA;010206;1285;1628;1681
